rrc12	20811	20811,3356,174,101,47065,61574,47065
rrc03	47441	47441,31133,174,101,47065,61574,47065
rrc13	47441	47441,31133,174,101,47065,61574,47065
rrc12	47441	47441,31133,174,101,47065,61574,47065
rrc10	12637	12637,174,101,47065,61574,47065
rrc15	16735	16735,174,101,47065,61574,47065
rrc07	49515	49515,174,101,47065,61574,47065
rrc10	41327	41327,3257,174,101,47065,61574,47065
rrc03	43376	43376,174,101,47065,61574,47065
rrc19	37239	37239,6939,1299,174,101,47065,61574,47065
rrc12	24961	24961,3320,174,101,47065,61574,47065
route-views.sg	14061	14061,4637,11164,101,47065,61574,47065
rrc14	14061	14061,6453,174,101,47065,61574,47065
rrc00	131477	131477,58879,174,101,47065,61574,47065
rrc03	205206	205206,1299,174,101,47065,61574,47065
rrc19	37271	37271,174,101,47065,61574,47065
rrc01	8607	8607,2914,174,101,47065,61574,47065
rrc00	55720	55720,6762,174,101,47065,61574,47065
route-views2	20912	20912,174,101,47065,61574,47065
rrc10	20912	20912,174,101,47065,61574,47065
rrc00	39351	39351,174,101,47065,61574,47065
rrc11	2497	2497,101,47065,61574,47065
rrc06	2497	2497,101,47065,61574,47065
rrc14	2497	2497,101,47065,61574,47065
route-views.isc	2497	2497,101,47065,61574,47065
route-views.wide	2497	2497,101,47065,61574,47065
route-views2	2497	2497,101,47065,61574,47065
rrc01	35266	35266,2914,174,101,47065,61574,47065
rrc04	20932	20932,174,101,47065,61574,47065
rrc20	49605	49605,174,101,47065,61574,47065
rrc10	49605	49605,174,101,47065,61574,47065
rrc01	328145	328145,174,101,47065,61574,47065
route-views.sg	63956	63956,3491,101,47065,61574,47065
rrc23	63956	63956,3491,101,47065,61574,47065
route-views4	63956	63956,174,101,47065,61574,47065
route-views4	2518	2518,2914,174,101,47065,61574,47065
rrc21	12779	12779,174,101,47065,61574,47065
rrc12	12779	12779,174,101,47065,61574,47065
rrc01	12779	12779,174,101,47065,61574,47065
rrc10	12779	12779,174,101,47065,61574,47065
rrc20	59891	59891,51395,1299,174,101,47065,61574,47065
rrc04	513	513,293,11537,101,47065,61574,47065
rrc20	25091	25091,1299,174,101,47065,61574,47065
rrc21	25091	25091,2914,174,101,47065,61574,47065
rrc13	25091	25091,1299,1299,174,101,47065,61574,47065
rrc04	25091	25091,1299,174,101,47065,61574,47065
route-views2	53767	53767,174,174,101,47065,61574,47065
rrc00	49673	49673,24811,20485,174,101,47065,61574,47065
route-views2	57866	57866,3491,101,47065,61574,47065
rrc07	6667	6667,2603,11164,101,47065,61574,47065
rrc00	59919	59919,28716,2914,174,101,47065,61574,47065
rrc12	49697	49697,58299,174,101,47065,61574,47065
rrc04	29222	29222,174,101,47065,61574,47065
rrc05	35369	35369,2914,174,101,47065,61574,47065
rrc21	2613	2613,6893,174,101,47065,61574,47065
rrc20	8758	8758,174,101,47065,61574,47065
rrc00	8758	8758,174,101,47065,61574,47065
rrc18	43578	43578,1299,174,101,47065,61574,47065
rrc03	14907	14907,3320,174,101,47065,61574,47065
rrc00	14907	14907,1299,174,101,47065,61574,47065
rrc23	14907	14907,6453,174,101,47065,61574,47065
rrc14	14907	14907,2914,174,101,47065,61574,47065
rrc06	25152	25152,2914,174,101,47065,61574,47065
rrc15	23106	23106,52320,174,101,47065,61574,47065
route-views.telxatl	53828	53828,2914,174,101,47065,61574,47065
rrc01	25160	25160,174,101,47065,61574,47065
rrc03	47692	47692,3356,174,101,47065,61574,47065
rrc12	47692	47692,3356,174,101,47065,61574,47065
rrc05	47692	47692,3356,174,101,47065,61574,47065
rrc22	31313	31313,174,101,47065,61574,47065
rrc00	43607	43607,34800,24961,3320,174,101,47065,61574,47065
rrc00	49752	49752,58299,174,101,47065,61574,47065
route-views.saopaulo	262757	262757,4230,174,101,47065,61574,47065
rrc15	262757	262757,4230,174,101,47065,61574,47065
route-views.sg	137831	137831,3491,101,47065,61574,47065
route-views2	6762	6762,174,101,47065,61574,47065
rrc12	6762	6762,174,101,47065,61574,47065
rrc14	6762	6762,174,101,47065,61574,47065
rrc12	39533	39533,6453,174,101,47065,61574,47065
rrc19	37497	37497,174,101,47065,61574,47065
route-views2	49788	49788,174,101,47065,61574,47065
rrc19	328320	328320,37100,174,101,47065,61574,47065
route-views.sydney	4739	4739,11164,101,47065,61574,47065
rrc12	25220	25220,2914,174,101,47065,61574,47065
rrc13	25227	25227,9002,3356,174,101,47065,61574,47065
route-views.telxatl	15008	15008,40805,174,101,47065,61574,47065
rrc20	51873	51873,6830,174,101,47065,61574,47065
route-views2	6939	6939,1299,174,101,47065,61574,47065
route-views.kixp	6939	6939,1299,174,101,47065,61574,47065
route-views.isc	6939	6939,1299,174,101,47065,61574,47065
route-views.telxatl	6939	6939,1299,174,101,47065,61574,47065
rrc12	680	680,20965,11537,101,47065,61574,47065
rrc06	4777	4777,2500,2500,2500,7660,22388,101,47065,61574,47065
route-views2	701	701,174,101,47065,61574,47065
rrc20	31424	31424,3257,174,101,47065,61574,47065
rrc13	51907	51907,31133,174,101,47065,61574,47065
rrc00	58057	58057,174,101,47065,61574,47065
rrc12	58057	58057,24961,3320,174,101,47065,61574,47065
rrc11	19151	19151,11164,101,47065,61574,47065
rrc14	19151	19151,11164,101,47065,61574,47065
route-views.isc	19151	19151,11164,101,47065,61574,47065
route-views.telxatl	19151	19151,11164,101,47065,61574,47065
route-views.sydney	4826	4826,174,101,47065,61574,47065
rrc16	393950	393950,6939,1299,174,101,47065,61574,47065
rrc00	6881	6881,25512,174,101,47065,61574,47065
rrc11	13030	13030,1299,174,101,47065,61574,47065
rrc01	13030	13030,1299,174,101,47065,61574,47065
rrc01	6894	6894,174,101,47065,61574,47065
rrc20	21232	21232,15576,174,101,47065,61574,47065
rrc12	29140	29140,2603,11164,101,47065,61574,47065
rrc13	41722	41722,20764,174,101,47065,61574,47065
rrc01	64271	64271,62240,174,101,47065,61574,47065
rrc03	64271	64271,3214,3257,174,101,47065,61574,47065
rrc00	64271	64271,131477,6939,1299,174,101,47065,61574,47065
rrc15	64271	64271,262287,16735,174,101,47065,61574,47065
rrc03	29467	29467,2914,174,101,47065,61574,47065
rrc00	35619	35619,60474,174,101,47065,61574,47065
rrc13	29479	29479,50304,1299,174,101,47065,61574,47065
rrc11	9002	9002,3356,174,101,47065,61574,47065
rrc13	9002	9002,3356,174,101,47065,61574,47065
rrc07	9002	9002,3356,174,101,47065,61574,47065
route-views.telxatl	27446	27446,27446,174,101,47065,61574,47065
rrc00	29504	29504,15935,174,101,47065,61574,47065
rrc12	47950	47950,1299,174,101,47065,61574,47065
rrc13	2895	2895,3267,174,101,47065,61574,47065
route-views2	852	852,101,47065,61574,47065
rrc00	852	852,101,47065,61574,47065
route-views2	2914	2914,174,101,47065,61574,47065
rrc12	2914	2914,174,101,47065,61574,47065
rrc01	2914	2914,174,101,47065,61574,47065
rrc14	2914	2914,174,101,47065,61574,47065
route-views4	2914	2914,174,101,47065,61574,47065
route-views2	7018	7018,174,101,47065,61574,47065
rrc00	7018	7018,174,101,47065,61574,47065
rrc00	206313	206313,1273,174,101,47065,61574,47065
rrc13	39821	39821,28917,3257,174,101,47065,61574,47065
rrc05	13237	13237,3257,174,101,47065,61574,47065
rrc20	58299	58299,174,101,47065,61574,47065
rrc20	64463	64463,174,101,47065,61574,47065
rrc12	64475	64475,47147,2914,174,101,47065,61574,47065
rrc18	29680	29680,174,101,47065,61574,47065
rrc12	29686	29686,6453,174,101,47065,61574,47065
rrc20	29691	29691,6830,174,101,47065,61574,47065
rrc01	31742	31742,174,101,47065,61574,47065
rrc00	4608	4608,7575,11537,101,47065,61574,47065
rrc03	15435	15435,174,101,47065,61574,47065
rrc03	1103	1103,11537,101,47065,61574,47065
rrc11	9304	9304,174,101,47065,61574,47065
rrc00	37989	37989,4844,2914,174,101,47065,61574,47065
rrc00	210025	210025,64515,65534,20473,2914,174,101,47065,61574,47065
rrc00	38001	38001,2914,174,101,47065,61574,47065
route-views2	23673	23673,174,101,47065,61574,47065
rrc00	50300	50300,174,101,47065,61574,47065
rrc00	50304	50304,1299,174,101,47065,61574,47065
